Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
1651_High09_A_R1_1of1_Taes_1x1_d_c,1651,Nikon,1x,1,High09,A,R1,Base,1of1,Solo,Taes,d,c
1652_High09_A_R1_1of1_Taes_1x1_l_c,1652,Nikon,1x,1,High09,A,R1,Base,1of1,Solo,Taes,l,c
1654_High09_A_R2_2of3_Taes_1x1_d_c,1654,Nikon,1x,1,High09,A,R2,Base,2of3,Internal,Taes,d,c
1655_High09_A_R2_2of3_Taes_1x1_l_c,1655,Nikon,1x,1,High09,A,R2,Base,2of3,Internal,Taes,l,c
1657_High09_A_R2_2_Taes_1x1_d_c,1657,Nikon,1x,1,High09,A,R2,Base,3of3,External,Taes,d,c
1658_High09_A_R2_3of3_Taes_1x1_l_c,1658,Nikon,1x,1,High09,A,R2,Base,3of3,External,Taes,l,c
1660_High09_A_R9_1of3_Taes_1x1_d_c,1660,Nikon,1x,1,High09,A,R9,Mid,1of3,External,Taes,d,c
1661_High09_A_R9_1of3_Taes_1x1_l_c,1661,Nikon,1x,1,High09,A,R9,Mid,1of3,External,Taes,l,c
1663_High09_A_R9_2of3_Taes_1x1_d_c,1663,Nikon,1x,1,High09,A,R9,Mid,2of3,Internal,Taes,d,c
1664_High09_A_R9_2of3_Taes_1x1_l_c,1664,Nikon,1x,1,High09,A,R9,Mid,2of3,Internal,Taes,l,c
1666_High09_A_R9_3of3_Taes_1x1_d_c,1666,Nikon,1x,1,High09,A,R9,Mid,3of3,External,Taes,d,c
1667_High09_A_R9_3of3_Taes_1x1_l_c,1667,Nikon,1x,1,High09,A,R9,Mid,3of3,External,Taes,l,c
1669_High09_A_R17_2of3_Taes_1x1_d_c,1669,Nikon,1x,1,High09,A,R17,Top,2of3,Internal,Taes,d,c
1670_High09_A_R17_2of3_Taes_1x1_l_c,1670,Nikon,1x,1,High09,A,R17,Top,2of3,Internal,Taes,l,c
1672_High09_A_R18_1of2_Taes_1x1_d_c,1672,Nikon,1x,1,High09,A,R18,Top,1of2,External,Taes,d,c
1673_High09_A_R18_1of2_Taes_1x1_l_c,1673,Nikon,1x,1,High09,A,R18,Top,1of2,External,Taes,l,c
1675_High09_A_R18_2of2_Taes_1x1_d_c,1675,Nikon,1x,1,High09,A,R18,Top,2of2,External,Taes,d,c
1676_High09_A_R18_2of2_Taes_1x1_l_c,1676,Nikon,1x,1,High09,A,R18,Top,2of2,External,Taes,l,c
1813_High09_B_R1_1of1_Taes_1x1_d_c,1813,Nikon,1x,1,High09,B,R1,Base,1of1,Solo,Taes,d,c
1814_High09_B_R1_1of1_Taes_1x1_l_c,1814,Nikon,1x,1,High09,B,R1,Base,1of1,Solo,Taes,l,c
1816_High09_B_R2_1of3_Taes_1x1_d_c,1816,Nikon,1x,1,High09,B,R2,Base,1of3,External,Taes,d,c
1817_High09_B_R2_1of3_Taes_1x1_l_c,1817,Nikon,1x,1,High09,B,R2,Base,1of3,External,Taes,l,c
1819_High09_B_R2_2of3_Taes_1x1_d_c,1819,Nikon,1x,1,High09,B,R2,Base,2of3,Internal,Taes,d,c
1820_High09_B_R2_2of3_Taes_1x1_l_c,1820,Nikon,1x,1,High09,B,R2,Base,2of3,Internal,Taes,l,c
1822_High09_B_R6_3of3_Taes_1x1_d_c,1822,Nikon,1x,1,High09,B,R6,Mid,3of3,External,Taes,d,c
1823_High09_B_R6_3of3_Taes_1x1_l_c,1823,Nikon,1x,1,High09,B,R6,Mid,3of3,External,Taes,l,c
1825_High09_B_R7_1of3_Taes_1x1_d_c,1825,Nikon,1x,1,High09,B,R7,Mid,1of3,External,Taes,d,c
1826_High09_B_R7_1of3_Taes_1x1_l_c,1826,Nikon,1x,1,High09,B,R7,Mid,1of3,External,Taes,l,c
1828_High09_B_R7_2of3_Taes_1x1_d_c,1828,Nikon,1x,1,High09,B,R7,Mid,2of3,Internal,Taes,d,c
1829_High09_B_R7_2of3_Taes_1x1_l_c,1829,Nikon,1x,1,High09,B,R7,Mid,2of3,Internal,Taes,l,c
1831_High09_B_R12_1of2_Taes_1x1_d_c,1831,Nikon,1x,1,High09,B,R12,Top,1of2,External,Taes,d,c
1832_High09_B_R12_1of2_Taes_1x1_l_c,1832,Nikon,1x,1,High09,B,R12,Top,1of2,External,Taes,l,c
1834_High09_B_R12_2of2_Taes_1x1_d_c,1834,Nikon,1x,1,High09,B,R12,Top,2of2,External,Taes,d,c
1835_High09_B_R12_2of2_Taes_1x1_l_c,1835,Nikon,1x,1,High09,B,R12,Top,2of2,External,Taes,l,c
